"","token","tok_length","n"
"2436","名望",2,1
"2437","名次",2,1
"2438","名流",2,3
"2439","名目",2,11
"2440","名稱",2,10
"2441","名簿",2,1
"2442","名義",2,19
"2443","名詞",2,9
"2444","名譽",2,17
"2445","名譽會長",4,1
"2446","名門",2,1
"2447","名額",2,10
"2448","名馬",2,1
"2449","后",1,5
"2450","吏",1,15
"2451","吏部",2,8
"2452","吐",1,2
"2453","吐舌",2,1
"2454","吐露",2,1
"2455","向",1,172
"2456","向上",2,2
"2457","向來",2,10
"2458","向島",2,3
"2459","君",1,202
"2460","君主",2,32
"2461","君子",2,6
"2462","君權",2,5
"2463","君民",2,3
"2464","君父",2,1
"2465","君臣",2,1
"2466","君臨",2,1
"2467","吝",1,2
"2468","吞",1,1
"2469","吟",1,2
"2470","否",1,61
"2471","否則",2,21
"2472","否定",2,3
"2473","否決",2,3
"2474","否認",2,5
"2475","吧",1,13
"2476","含",1,19
"2477","含含糊糊",4,1
"2478","含混",2,1
"2479","吱",1,1
"2480","吳",1,47
"2481","吳佩孚",3,4
"2482","吳國",2,1
"2483","吳淞",2,1
"2484","吳祿貞",3,2
"2485","吳縣",2,1
"2486","吳興",2,2
"2487","吸",1,12
"2488","吸力",2,1
"2489","吸收",2,9
"2490","吹",1,2
"2491","吹噓",2,1
"2492","吾",1,351
"2493","吾人",2,75
"2494","吾儕",2,5
"2495","吾輩",2,4
"2496","吿",1,207
"2497","呀",1,3
"2498","呂",1,7
"2499","呆",1,4
"2500","呈",1,48
"2501","呈報",2,6
"2502","呈請",2,1
"2503","呈遞",2,3
"2504","呑",1,6
"2505","呢",1,63
"2506","周",1,40
"2507","周作",2,1
"2508","周到",2,1
"2509","周圍",2,5
"2510","周家",2,2
"2511","周密",2,7
"2512","周折",2,1
"2513","周旋",2,3
"2514","周禮",2,1
"2515","周至",2,2
"2516","周轉",2,3
"2517","味",1,18
"2518","味精",2,1
"2519","呵",1,5
"2520","呵斥",2,1
"2521","呷",1,2
"2522","呻吟",2,3
"2523","呼",1,33
"2524","呼吸",2,3
"2525","呼喚",2,3
"2526","呼籲",2,1
"2527","呼聲",2,1
"2528","命",1,61
"2529","命令",2,18
"2530","命名",2,1
"2531","命脈",2,4
"2532","命運",2,2
"2533","和",1,411
"2534","和平",2,41
"2535","和憲",2,1
"2536","和服",2,1
"2537","和藹",2,2
"2538","和衷",2,1
"2539","和解",2,2
"2540","和諧",2,1
"2541","和議",2,8
"2542","和顏悅色",4,1
"2543","咎",1,9
"2544","咒",1,2
"2545","咖啡",2,1
"2546","咧",1,2
"2547","咨",1,53
"2548","咨商",2,1
"2549","咨文",2,4
"2550","咲子",2,1
"2551","咳",1,3
"2552","咷",1,1
"2553","咸",1,22
"2554","咸豐",2,5
"2555","咸陽",2,1
"2556","咻",1,1
"2557","咽喉",2,2
"2558","哀",1,7
"2559","哀怨",2,1
"2560","哀悼",2,1
"2561","哀痛",2,1
"2562","品",1,78
"2563","品川",2,1
"2564","品性",2,3
"2565","品格",2,1
"2566","品物",2,1
"2567","品行",2,6
"2568","品評",2,1
"2569","品質",2,2
"2570","哂",1,1
"2571","哇",1,1
"2572","哈",1,31
"2573","哈佛",2,4
"2574","哈佛大學",4,5
"2575","哈爾濱",3,6
"2576","哉",1,33
"2577","員",1,199
"2578","員外",2,4
"2579","員工",2,2
"2580","員弁",2,1
"2581","員額",2,2
"2582","哥",1,10
"2583","哥倫比亞",4,3
"2584","哥老會",3,6
"2585","哨",1,1
"2586","哩",1,6
"2587","哭",1,4
"2588","哭泣",2,1
"2589","哲",1,30
"2590","哲人",2,1
"2591","哲學",2,24
"2592","哲學家",3,1
"2593","哲明",2,1
"2594","哲理",2,2
"2595","哿",1,1
"2596","唆",1,1
"2597","唆使",2,2
"2598","唇",1,2
"2599","唐",1,42
"2600","唐代",2,8
"2601","唐宋",2,1
"2602","唐山",2,1
"2603","唐才常",3,6
"2604","唐紹儀",3,8
"2605","唐繼堯",3,2
"2606","售",1,9
"2607","唯",1,15
"2608","唯心",2,1
"2609","唯心主義",4,12
"2610","唯有",2,1
"2611","唱",1,9
"2612","唱和",2,1
"2613","唱歌",2,3
"2614","唱道",2,1
"2615","唾",1,3
"2616","唾棄",2,1
"2617","唾沫",2,1
"2618","商",1,135
"2619","商事",2,4
"2620","商人",2,21
"2621","商務",2,18
"2622","商務印書館",5,11
"2623","商品",2,8
"2624","商團",2,2
"2625","商埠",2,10
"2626","商場",2,5
"2627","商定",2,7
"2628","商家",2,2
"2629","商工",2,1
"2630","商店",2,7
"2631","商旅",2,1
"2632","商會",2,10
"2633","商業",2,51
"2634","商榷",2,3
"2635","商標",2,1
"2636","商法",2,7
"2637","商用",2,1
"2638","商界",2,4
"2639","商科",2,1
"2640","商船",2,1
"2641","商號",2,2
"2642","商訂",2,1
"2643","商議",2,4
"2644","商賈",2,1
"2645","商酌",2,6
"2646","商量",2,6
"2647","啊",1,4
"2648","問",1,89
"2649","問答",2,3
"2650","問題",2,276
"2651","啓",1,23
"2652","啓示",2,1
"2653","啞",1,1
"2654","啟",1,9
"2655","啟發",2,1
"2656","啻",1,8
"2657","喀",1,1
"2658","喃",1,2
"2659","善",1,94
"2660","善人",2,1
"2661","善堂",2,3
"2662","善夫",2,1
"2663","善後",2,21
"2664","善意",2,1
"2665","善於",2,1
"2666","喇嘛",2,6
"2667","喇嘛廟",3,1
"2668","喇嘛教",3,1
"2669","喉",1,4
"2670","喋喋",2,1
"2671","喘息",2,1
"2672","喚",1,2
"2673","喚起",2,3
"2674","喜",1,27
"2675","喜悅",2,1
"2676","喜歡",2,2
"2677","喜色",2,1
"2678","喜重",2,1
"2679","喝",1,2
"2680","喩",1,2
"2681","喪",1,11
"2682","喪失",2,7
"2683","喪葬",2,3
"2684","喫",1,24
"2685","喫飯",2,1
"2686","喬",1,2
"2687","喬治",2,4
"2688","單",1,26
"2689","單人",2,1
"2690","單位",2,7
"2691","單數",2,1
"2692","單獨",2,6
"2693","單純",2,1
"2694","單薄",2,1
"2695","單調",2,1
"2696","嗎",1,3
"2697","嗎啡",2,1
"2698","嗚呼",2,10
"2699","嗜",1,6
"2700","嗜好",2,3
"2701","嗟",1,7
"2702","嗣",1,26
"2703","嗣子",2,2
"2704","嗣後",2,4
"2705","嗤",1,1
"2706","嗶",1,1
"2707","嗾",1,1
"2708","嘅",1,3
"2709","嘆",1,9
"2710","嘈雜",2,1
"2711","嘉",1,11
"2712","嘉定",2,1
"2713","嘉慶",2,1
"2714","嘉獎",2,1
"2715","嘉祐",2,1
"2716","嘉祥",2,5
"2717","嘉禾",2,1
"2718","嘉納",2,3
"2719","嘉美",2,1
"2720","嘉興",2,3
"2721","嘉許",2,2
"2722","嘉靖",2,7
"2723","嘔",1,1
"2724","嘗",1,68
"2725","嘗膽",2,1
"2726","嘗試",2,2
"2727","嘩",1,1
"2728","嘲",1,1
"2729","嘲笑",2,1
"2730","嘴",1,1
"2731","嘵嘵",2,1
"2732","嘻",1,2
"2733","嘻嘻",2,1
"2734","器",1,14
"2735","器具",2,1
"2736","器械",2,5
"2737","器物",2,4
"2738","噫",1,8
"2739","噬",1,3
"2740","噱",1,1
"2741","噴",1,1
"2742","噴火",2,2
"2743","噴發",2,1
"2744","噸",1,6
"2745","嚆矢",2,5
"2746","嚇",1,1
"2747","嚮",1,5
"2748","嚮導",2,1
"2749","嚴",1,48
"2750","嚴加",2,2
"2751","嚴厲",2,1
"2752","嚴守",2,3
"2753","嚴密",2,4
"2754","嚴寒",2,2
"2755","嚴復",2,3
"2756","嚴格",2,5
"2757","嚴緊",2,1
"2758","嚴肅",2,2
"2759","嚴詞",2,1
"2760","嚴酷",2,3
"2761","嚴重",2,15
"2762","嚴防",2,1
"2763","嚼",1,2
"2764","囂",1,4
"2765","囂囂",2,1
"2766","囂張",2,1
"2767","囊",1,3
"2768","囑",1,8
"2769","囘",1,1
"2770","囚",1,5
"2771","囚徒",2,1
"2772","四",1,594
"2773","四分",2,2
"2774","四十",2,74
"2775","四十九",3,5
"2776","四千",2,20
"2777","四合",2,2
"2778","四哥",2,2
"2779","四四",2,4
"2780","四國",2,3
"2781","四圍",2,1
"2782","四季",2,3
"2783","四川",2,23
"2784","四川省",3,2
"2785","四平",2,2
"2786","四年",2,3
"2787","四方",2,4
"2788","四日",2,8
"2789","四書",2,5
"2790","四月",2,47
"2791","四月八",3,1
"2792","四海",2,2
"2793","四百",2,24
"2794","四百萬",3,6
"2795","四維",2,2
"2796","四萬",2,8
"2797","四角",2,1
"2798","四面",2,4
"2799","四點",2,1
"2800","四點鐘",3,2
"2801","回",1,124
"2802","回來",2,5
"2803","回信",2,1
"2804","回國",2,2
"2805","回復",2,8
"2806","回想",2,2
"2807","回憶",2,1
"2808","回教",2,2
"2809","回溯",2,2
"2810","回答",2,2
"2811","回頭",2,1
"2812","回顧",2,2
"2813","因",1,551
"2814","因循",2,5
"2815","因應",2,2
"2816","因果",2,3
"2817","因此",2,95
"2818","因素",2,1
"2819","因緣",2,3
"2820","因而",2,7
"2821","因革",2,1
"2822","囫圇",2,1
"2823","困",1,11
"2824","困乏",2,1
"2825","困苦",2,5
"2826","困難",2,45
"2827","固",1,134
"2828","固執",2,1
"2829","固守",2,1
"2830","固定",2,2
"2831","固有",2,12
"2832","固然",2,14
"2833","固結",2,1
"2834","囿",1,1
"2835","圃",1,3
"2836","圈",1,5
"2837","圈子",2,1
"2838","國",1,1047
"2839","國中",2,3
"2840","國人",2,70
"2841","國債",2,11
"2842","國光",2,1
"2843","國內",2,51
"2844","國力",2,11
"2845","國務",2,25
"2846","國務卿",3,1
"2847","國務總理",4,11
"2848","國務院",3,29
"2849","國勢",2,9
"2850","國史",2,1
"2851","國史館",3,1
"2852","國土",2,4
"2853","國基",2,2
"2854","國境",2,2
"2855","國外",2,3
"2856","國子",2,3
"2857","國子監",3,2
"2858","國學",2,4
"2859","國家",2,228
"2860","國富",2,1
"2861","國寶",2,1
"2862","國帑",2,1
"2863","國庫",2,7
"2864","國恥",2,2
"2865","國情",2,4
"2866","國慶",2,3
"2867","國手",2,1
"2868","國文",2,15
"2869","國文科",3,2
"2870","國旗",2,5
"2871","國會",2,142
"2872","國會議員",4,1
"2873","國有",2,3
"2874","國權",2,8
"2875","國民",2,199
"2876","國民大會",4,6
"2877","國民黨",3,36
"2878","國王",2,1
"2879","國產",2,2
"2880","國界",2,1
"2881","國稅",2,3
"2882","國立",2,12
"2883","國籍",2,4
"2884","國粹",2,4
"2885","國聯",2,14
"2886","國華",2,5
"2887","國語",2,12
"2888","國變",2,1
"2889","國貨",2,4
"2890","國軍",2,11
"2891","國運",2,4
"2892","國道",2,2
"2893","國防",2,7
"2894","國際",2,147
"2895","國際私法",4,1
"2896","國體",2,15
"2897","圍",1,20
"2898","圍攻",2,3
"2899","圍牆",2,2
"2900","園",1,13
"2901","園子",2,1
"2902","園遊會",3,1
"2903","圓",1,71
"2904","圓明園",3,1
"2905","圓滿",2,11
"2906","圓通",2,1
"2907","圖",1,68
"2908","圖們江",3,1
"2909","圖像",2,2
"2910","圖書",2,19
"2911","圖書室",3,1
"2912","圖書館",3,17
"2913","圖案",2,3
"2914","圖畫",2,3
"2915","圖謀",2,1
"2916","團",1,64
"2917","團員",2,3
"2918","團團",2,1
"2919","團結",2,7
"2920","團練",2,2
"2921","團長",2,5
"2922","團體",2,90
"2923","土",1,44
"2924","土匪",2,9
"2925","土司",2,2
"2926","土地",2,32
"2927","土壤",2,1
"2928","土工",2,1
"2929","土曜日",3,1
"2930","土木",2,6
"2931","土產",2,1
"2932","土耳其",3,2
"2933","土著",2,1
"2934","土豪",2,2
"2935","在",1,1541
"2936","在京",2,1
"2937","在於",2,3
"2938","圭亞那",3,1
"2939","地",1,336
"2940","地下",2,3
"2941","地下水",3,1
"2942","地主",2,3
"2943","地位",2,58
"2944","地價",2,5
"2945","地勢",2,4
"2946","地味",2,1
"2947","地圖",2,1
"2948","地址",2,3
"2949","地域",2,16
"2950","地基",2,1
"2951","地層",2,2
"2952","地帶",2,5
"2953","地方",2,252
"2954","地方自治",4,6
"2955","地板",2,1
"2956","地權",2,5
"2957","地步",2,10
"2958","地段",2,1
"2959","地殼",2,2
"2960","地球",2,7
"2961","地理",2,15
"2962","地界",2,1
"2963","地皮",2,4
"2964","地盤",2,5
"2965","地稅",2,5
"2966","地質",2,7
"2967","地質學",3,2
"2968","地震",2,59
"2969","地面",2,7
"2970","地點",2,14
"2971","圻",1,10
"2972","圾",1,1
"2973","址",1,6
"2974","坂",1,4
"2975","坂本",2,2
"2976","均",1,251
"2977","均衡",2,10
"2978","坊",1,20
"2979","坍",1,1
"2980","坎",1,1
"2981","坎坷",2,1
"2982","坐",1,60
"2983","坐視",2,1
"2984","坑",1,2
"2985","坡",1,6
"2986","坦",1,1
"2987","坦途",2,1
"2988","坪",1,2
"2989","坫",1,1
"2990","坳",1,1
"2991","坼",1,1
"2992","垂",1,6
"2993","垂涎",2,3
"2994","垂簾",2,3
"2995","型",1,1
"2996","型式",2,1
"2997","垠",1,2
"2998","垢",1,2
"2999","垣",1,7
"3000","埃",1,4
"3001","埃及",2,5
"3002","埋",1,3
"3003","埋伏",2,2
"3004","埋沒",2,4
"3005","城",1,133
"3006","城南",2,1
"3007","城垣",2,2
"3008","城市",2,8
"3009","城池",2,1
"3010","城郭",2,1
"3011","城門",2,1
"3012","埒",1,1
"3013","埔",1,1
"3014","域",1,4
"3015","埠",1,14
"3016","埡",1,1
"3017","執",1,46
"3018","執事",2,6
"3019","執政",2,7
"3020","執法",2,2
"3021","執行",2,35
"3022","培",1,8
"3023","培植",2,10
"3024","培養",2,10
"3025","基",1,27
"3026","基地",2,1
"3027","基於",2,4
"3028","基本",2,14
"3029","基爾",2,1
"3030","基督",2,3
"3031","基督教",3,6
"3032","基礎",2,51
"3033","基調",2,1
"3034","基金",2,16
"3035","埼玉",2,1
"3036","堀切",2,1
"3037","堂",1,56
"3038","堂兄",2,1
"3039","堂堂",2,9
"3040","堂山",2,7
"3041","堃",1,2
"3042","堅",1,12
"3043","堅固",2,5
"3044","堅守",2,1
"3045","堅實",2,1
"3046","堅持",2,3
"3047","堅挺",2,1
"3048","堅決",2,3
"3049","堅牢",2,3
"3050","堅甲",2,1
"3051","堅苦",2,3
"3052","堅貞",2,1
"3053","堆",1,3
"3054","堆積",2,1
"3055","堙",1,1
"3056","堤",1,1
"3057","堪",1,19
"3058","堯",1,3
"3059","報",1,217
"3060","報名",2,1
"3061","報告書",3,1
"3062","報復",2,1
"3063","報案",2,2
"3064","報知",2,1
"3065","報社",2,1
"3066","報章",2,9
"3067","報紙",2,44
"3068","報酬",2,3
"3069","報銷",2,1
"3070","場",1,65
"3071","場合",2,1
"3072","場所",2,1
"3073","場面",2,2
"3074","堵截",2,1
"3075","塊",1,9
"3076","塌",1,1
"3077","塑",1,2
"3078","塑像",2,1
"3079","塔",1,6
"3080","塗",1,4
"3081","塗塗",2,2
"3082","塗抹",2,1
"3083","塗油",2,1
"3084","塗漆",2,1
"3085","塗飾",2,1
"3086","塘",1,4
"3087","塞",1,7
"3088","塞爾維亞",4,3
"3089","塡",1,4
"3090","塵",1,6
"3091","塵囂",2,1
"3092","塵埃",2,2
"3093","塵沙",2,1
"3094","塹",1,1
"3095","塾",1,3
"3096","墀",1,1
"3097","境",1,42
"3098","境內",2,1
"3099","境地",2,1
"3100","境域",2,2
"3101","境界",2,4
"3102","境遇",2,3
"3103","墊",1,6
"3104","墊款",2,2
"3105","墓",1,1
"3106","墜",1,4
"3107","增",1,102
"3108","增刊",2,1
"3109","增删",2,1
"3110","增加",2,55
"3111","增多",2,2
"3112","增強",2,1
"3113","增損",2,2
"3114","增殖",2,1
"3115","增減",2,3
"3116","增產",2,1
"3117","增補",2,3
"3118","增設",2,1
"3119","增進",2,20
"3120","增長",2,2
"3121","增高",2,2
"3122","墟",1,4
"3123","墨",1,4
"3124","墨守",2,2
"3125","墨西哥",3,2
"3126","墨蹟",2,1
"3127","墮",1,3
"3128","墮落",2,1
"3129","墳墓",2,1
"3130","墾",1,3
"3131","墾殖",2,1
"3132","墾民",2,1
"3133","壁",1,17
"3134","壅",1,1
"3135","壇",1,1
"3136","壑",1,3
"3137","壓",1,14
"3138","壓低",2,1
"3139","壓倒",2,4
"3140","壓力",2,2
"3141","壓迫",2,28
"3142","壖",1,1
"3143","壘",1,3
"3144","壞",1,18
"3145","壞話",2,1
"3146","壟斷",2,1
"3147","壤",1,3
"3148","壤土",2,1
"3149","士",1,83
"3150","士大夫",3,9
"3151","士官",2,11
"3152","士林",2,1
"3153","士民",2,6
"3154","士紳",2,8
"3155","壬",1,14
"3156","壯",1,3
"3157","壯健",2,1
"3158","壯大",2,1
"3159","壯麗",2,2
"3160","壹",1,1
"3161","壺",1,2
"3162","壽",1,27
"3163","壽司",2,1
"3164","壽山",2,1
"3165","壽險",2,1
"3166","夏",1,29
"3167","夏令",2,1
"3168","夏天",2,5
"3169","夏威夷",3,1
"3170","夏季",2,2
"3171","夏日",2,1
"3172","夏衣",2,2
"3173","夕",1,8
"3174","外",1,532
"3175","外事",2,1
"3176","外交",2,109
"3177","外交史",3,2
"3178","外交官",3,3
"3179","外交部",3,10
"3180","外人",2,35
"3181","外來",2,10
"3182","外侮",2,1
"3183","外債",2,28
"3184","外僑",2,2
"3185","外出",2,3
"3186","外務",2,21
"3187","外務省",3,8
"3188","外匯",2,32
"3189","外商",2,4
"3190","外國",2,102
"3191","外國人",3,11
"3192","外國語",3,18
"3193","外圍",2,1
"3194","外地",2,1
"3195","外城",2,4
"3196","外埠",2,4
"3197","外報",2,2
"3198","外套",2,1
"3199","外幣",2,5
"3200","外患",2,2
"3201","外援",2,1
"3202","外洋",2,6
"3203","外甥",2,1
"3204","外甥女",3,1
"3205","外用",2,4
"3206","外界",2,4
"3207","外相",2,4
"3208","外省",2,5
"3209","外省人",3,2
"3210","外科",2,1
"3211","外籍",2,5
"3212","外蒙",2,7
"3213","外行",2,1
"3214","外衣",2,1
"3215","外表",2,3
"3216","外觀",2,3
"3217","外貌",2,1
"3218","外貨",2,17
"3219","外資",2,4
"3220","外部",2,9
"3221","外長",2,1
"3222","外間",2,4
"3223","外電",2,2
"3224","外面",2,4
"3225","夙",1,4
"3226","夙夜",2,1
"3227","夙願",2,1
"3228","多",1,602
"3229","多半",2,7
"3230","多多",2,1
"3231","多少",2,12
"3232","多層",2,1
"3233","多數",2,30
"3234","多方",2,8
"3235","多雲",2,1
"3236","多餘",2,2
"3237","夜",1,33
"3238","夜班",2,1
"3239","夜間",2,3
"3240","够",1,13
"3241","夠",1,3
"3242","夢",1,7
"3243","夢囈",2,1
"3244","夢想",2,2
"3245","夥",1,5
"3246","夥伴",2,1
"3247","夥計",2,1
"3248","大",1,791
"3249","大久保",3,1
"3250","大亂",2,1
"3251","大事",2,3
"3252","大人",2,3
"3253","大任",2,1
"3254","大伴",2,1
"3255","大佐",2,1
"3256","大作",2,1
"3257","大使",2,10
"3258","大使館",3,2
"3259","大元帥",3,7
"3260","大全",2,1
"3261","大公",2,1
"3262","大公報",3,1
"3263","大凡",2,3
"3264","大刀",2,8
"3265","大利",2,1
"3266","大力",2,1
"3267","大功",2,1
"3268","大助",2,1
"3269","大勢",2,12
"3270","大半",2,13
"3271","大同",2,9
"3272","大吏",2,6
"3273","大呼",2,1
"3274","大哥",2,1
"3275","大國",2,2
"3276","大地",2,2
"3277","大城",2,1
"3278","大堂",2,1
"3279","大多",2,7
"3280","大多數",3,3
"3281","大大",2,4
"3282","大夫",2,2
"3283","大學",2,255
"3284","大學生",3,3
"3285","大宗",2,9
"3286","大家",2,21
"3287","大尉",2,2
"3288","大局",2,10
"3289","大屠殺",3,2
"3290","大山",2,1
"3291","大島",2,5
"3292","大師",2,2
"3293","大廈",2,1
"3294","大廳",2,1
"3295","大德",2,1
"3296","大患",2,1
"3297","大意",2,9
"3298","大成",2,4
"3299","大戰",2,8
"3300","大批",2,11
"3301","大抵",2,8
"3302","大敵",2,1
"3303","大方",2,3
"3304","大智",2,5
"3305","大會",2,69
"3306","大本營",3,1
"3307","大杉",2,5
"3308","大東",2,3
"3309","大森",2,1
"3310","大業",2,2
"3311","大概",2,2
"3312","大權",2,13
"3313","大正",2,13
"3314","大池",2,1
"3315","大河",2,1
"3316","大沽",2,5
"3317","大法",2,5
"3318","大洋",2,1
"3319","大火",2,1
"3320","大理",2,3
"3321","大理寺",3,4
"3322","大生",2,1
"3323","大略",2,14
"3324","大石",2,2
"3325","大磯",2,1
"3326","大禍",2,1
"3327","大禮",2,1
"3328","大約",2,9
"3329","大統領",3,2
"3330","大綱",2,45
"3331","大義",2,5
"3332","大聲",2,5
"3333","大膽",2,3
"3334","大臣",2,122
"3335","大致",2,16
"3336","大舉",2,6
"3337","大船",2,2
"3338","大藏",2,18
"3339","大衆",2,12
"3340","大街",2,3
"3341","大西洋",3,1
"3342","大觀",2,1
"3343","大計",2,2
"3344","大變",2,2
"3345","大豆",2,1
"3346","大越",2,2
"3347","大路",2,2
"3348","大軍",2,1
"3349","大通",2,6
"3350","大連",2,5
"3351","大道",2,4
"3352","大部",2,6
"3353","大部分",3,3
"3354","大都",2,14
"3355","大都市",3,8
"3356","大量",2,3
"3357","大門",2,3
"3358","大阪",2,27
"3359","大阿哥",3,2
"3360","大陸",2,12
"3361","大隈",2,5
"3362","大隊",2,7
"3363","大雅",2,1
"3364","大震",2,1
"3365","大震災",3,2
"3366","大願",2,1
"3367","大體",2,21
"3368","大鬧",2,1
"3369","大鵬",2,2
"3370","大黨",2,1
"3371","天",1,116
"3372","天上",2,1
"3373","天下",2,38
"3374","天主",2,2
"3375","天井",2,3
"3376","天保",2,1
"3377","天保山",3,1
"3378","天命",2,1
"3379","天地",2,18
"3380","天堂",2,1
"3381","天壇",2,6
"3382","天壤",2,1
"3383","天天",2,6
"3384","天子",2,6
"3385","天安門",3,6
"3386","天寶",2,1
"3387","天府",2,1
"3388","天心",2,1
"3389","天性",2,2
"3390","天才",2,3
"3391","天文",2,2
"3392","天柱",2,1
"3393","天氣",2,5
"3394","天津",2,36
"3395","天演論",3,1
"3396","天災",2,4
"3397","天然",2,15
"3398","天王",2,2
"3399","天生",2,1
"3400","天皇",2,3
"3401","天空",2,2
"3402","天竺",2,1
"3403","天縱",2,2
"3404","天職",2,7
"3405","天良",2,2
"3406","天賦",2,1
"3407","天道",2,1
"3408","太",1,65
"3409","太倉",2,2
"3410","太原",2,4
"3411","太后",2,16
"3412","太太",2,4
"3413","太夫",2,1
"3414","太守",2,9
"3415","太尉",2,2
"3416","太少",2,1
"3417","太平",2,4
"3418","太平天國",4,1
"3419","太平洋",3,83
"3420","太廟",2,2
"3421","太息",2,2
"3422","太極",2,1
"3423","太湖",2,1
"3424","太湖石",3,2
"3425","太田",2,1
"3426","太白",2,1
"3427","太皇太后",4,1
"3428","太陽",2,1
"3429","夫",1,144
"3430","夫人",2,13
"3431","夫妻",2,2
"3432","夫婦",2,2
"3433","夫子",2,2
"3434","夫役",2,2
"3435","失",1,71
"3436","失卻",2,3
"3437","失去",2,6
"3438","失意",2,2
"3439","失掉",2,3
"3440","失措",2,1
"3441","失政",2,3
"3442","失敗",2,52
"3443","失望",2,2
"3444","失業",2,6
"3445","失火",2,2
"3446","失眠",2,1
"3447","失職",2,3
"3448","失誤",2,1
"3449","失踪",2,1
"3450","夷",1,23
"3451","夷狄",2,3
"3452","夾",1,4
"3453","奇",1,25
"3454","奇怪",2,1
"3455","奇異",2,2
"3456","奇貨",2,1
"3457","奇麗",2,1
"3458","奈",1,6
"3459","奈何",2,2
"3460","奈良",2,2
"3461","奉",1,72
"3462","奉命",2,1
"3463","奉天",2,22
"3464","奉安",2,2
"3465","奉旨",2,5
"3466","奉行",2,4
"3467","奉軍",2,1
"3468","奎",1,3
"3469","奏",1,101
"3470","奏效",2,1
"3471","奏明",2,1
"3472","奏章",2,1
"3473","奏請",2,4
"3474","契",1,4
"3475","契合",2,1
"3476","契約",2,31
"3477","奔",1,3
"3478","奔竄",2,1
"3479","奔走",2,4
"3480","奔赴",2,1
"3481","奔逃",2,4
"3482","奕",1,9
"3483","奕奕",2,1
"3484","套",1,6
"3485","奚",1,7
"3486","奠定",2,2
"3487","奢",1,2
"3488","奢侈",2,4
"3489","奢侈品",3,7
"3490","奢望",2,4
"3491","奢華",2,1
"3492","奢靡",2,1
"3493","奥",1,2
"3494","奧",1,9
"3495","奧國",2,3
"3496","奪",1,18
"3497","奪取",2,4
"3498","奪回",2,1
"3499","奬",1,15
"3500","奮",1,11
"3501","奮勉",2,2
"3502","奮戰",2,1
"3503","奮然",2,2
"3504","奮發",2,3
"3505","女",1,73
"3506","女人",2,2
"3507","女友",2,1
"3508","女士",2,10
"3509","女子",2,59
"3510","女孩",2,1
"3511","女學生",3,8
"3512","女官",2,1
"3513","女工",2,4
"3514","女校",2,1
"3515","女生",2,3
"3516","女皇",2,1
"3517","奴",1,11
"3518","奴僕",2,1
"3519","奴役",2,2
"3520","奴才",2,2
"3521","奴隸",2,2
"3522","奸",1,3
"3523","她",1,3
"3524","她們",2,1
"3525","好",1,134
"3526","好久",2,2
"3527","好像",2,12
"3528","好好",2,1
"3529","好惡",2,1
"3530","好意",2,2
"3531","好感",2,2
"3532","好比",2,1
"3533","好看",2,1
"3534","好處",2,1
"3535","好評",2,1
"3536","如",1,632
"3537","如今",2,1
"3538","如何",2,92
"3539","如來",2,1
"3540","如常",2,1
"3541","如意",2,4
"3542","如是",2,23
"3543","如果",2,42
"3544","如此",2,88
"3545","如若",2,2
"3546","妃",1,4
"3547","妄",1,12
"3548","妄人",2,1
"3549","妄動",2,2
"3550","妓",1,1
"3551","妓女",2,2
"3552","妓院",2,1
"3553","妙",1,17
"3554","妥",1,12
"3555","妥協",2,6
"3556","妥善",2,5
"3557","妥洽",2,1
"3558","妥當",2,4
"3559","妨",1,2
"3560","妨害",2,2
"3561","妨礙",2,5
"3562","妹",1,4
"3563","妻",1,9
"3564","妻女",2,1
"3565","妻子",2,1
"3566","妻孥",2,1
"3567","姆",1,1
"3568","姊",1,4
"3569","始",1,203
"3570","始末",2,3
"3571","始皇",2,1
"3572","始祖",2,1
"3573","始終",2,9
"3574","姑",1,22
"3575","姑丈",2,1
"3576","姑且",2,2
"3577","姑娘",2,2
"3578","姑息",2,1
"3579","姑母",2,10
"3580","姓",1,29
"3581","姓名",2,10
"3582","姓氏",2,2
"3583","委",1,21
"3584","委任",2,9
"3585","委員",2,64
"3586","委員會",3,66
"3587","委員長",3,5
"3588","委托",2,1
"3589","委派",2,1
"3590","委託",2,7
"3591","委身",2,2
"3592","委辦",2,2
"3593","姚",1,3
"3594","姜",1,6
"3595","姦淫",2,1
"3596","姬",1,2
"3597","姸",1,1
"3598","姻",1,2
"3599","姿態",2,1
"3600","姿色",2,1
"3601","威",1,18
"3602","威信",2,2
"3603","威儀",2,2
"3604","威力",2,1
"3605","威嚇",2,2
"3606","威廉",2,1
"3607","威權",2,3
"3608","威武",2,1
"3609","威海",2,7
"3610","威爾",2,1
"3611","威爾斯",3,3
"3612","威爾遜",3,7
"3613","威福",2,1
"3614","威脅",2,6
"3615","威迫",2,1
"3616","娉",1,1
"3617","娘娘",2,1
"3618","娘子",2,1
"3619","娛樂",2,5
"3620","娜拉",2,1
"3621","娶",1,6
"3622","娼",1,2
"3623","娼妓",2,3
"3624","婁",1,2
"3625","婆",1,7
"3626","婆家",2,2
"3627","婆羅門教",4,1
"3628","婉",1,2
"3629","婚",1,1
"3630","婚姻",2,3
"3631","婚約",2,1
"3632","婢",1,2
"3633","婦",1,6
"3634","婦人",2,8
"3635","婦女",2,12
"3636","婪",1,1
"3637","媒",1,1
"3638","媒妁",2,1
"3639","媚",1,3
